 ,Area,Mean,Min,Max
450,10,96.700,90,111
451,28,93.536,12,116
452,28,93.536,12,116
453,28,93.536,12,116
454,19,94.789,15,138
455,19,94.789,15,138
456,19,94.789,15,138
457,11,92.455,13,135
458,10,100.500,93,113
459,10,100.500,93,113
460,11,99.091,19,128
461,10,99.300,93,112
462,10,99.300,93,112
463,11,100.000,91,117
464,11,100.000,91,117
465,12,102.083,92,150
466,12,102.083,92,150
467,12,117.083,102,136
468,12,117.083,102,136
469,10,103.000,89,121
470,52,95.769,12,125
471,52,95.769,12,125
472,52,95.769,12,125
473,52,95.769,12,125
474,52,95.769,12,125
475,10,118.200,99,152
476,13,101.769,88,118
477,13,101.769,88,118
478,71,87.690,7,145
479,71,87.690,7,145
480,71,87.690,7,145
481,71,87.690,7,145
482,71,87.690,7,145
483,10,99.300,91,135
484,10,99.300,91,135
485,11,100.455,89,123
486,11,100.455,89,123
487,20,102.600,88,129
488,20,102.600,88,129
489,20,102.600,88,129
490,13,100.462,29,132
491,10,107.400,96,126
492,28,95.821,13,128
493,28,95.821,13,128
494,21,91.429,79,124
495,21,91.429,79,124
496,10,101.500,89,121
497,14,97.000,89,112
498,14,97.000,89,112
499,14,97.000,89,112
500,10,101.600,91,122
501,10,101.600,91,122
502,10,104.800,97,121
503,10,116.300,111,124
504,10,100.400,92,119
505,10,100.400,92,119
506,15,114.133,101,128
507,12,96.833,22,123
508,12,96.833,22,123
509,38,106.974,13,143
510,38,106.974,13,143
511,38,106.974,13,143
512,38,106.974,13,143
513,16,95.062,87,112
514,10,95.800,91,115
515,10,105.900,92,140
516,10,105.900,92,140
517,16,111.375,100,133
518,16,111.375,100,133
519,10,101.600,88,127
520,10,108.400,90,127
521,14,94.857,84,109
522,14,94.857,84,109
523,10,104.300,91,129
524,10,97.200,89,107
525,10,97.100,89,112
526,16,103.938,93,133
527,16,103.938,93,133
528,12,100.667,93,118
529,12,100.667,93,118
530,13,93.077,7,117
531,13,93.077,7,117
532,13,93.077,7,117
533,10,105.900,94,125
534,10,105.900,94,125
535,11,85.818,3,113
536,10,98.900,88,124
537,10,98.900,88,124
538,28,100.964,90,127
539,28,100.964,90,127
540,10,109.800,90,139
541,11,99.545,87,126
542,10,98.400,88,126
543,10,98.400,88,126
544,13,98.538,87,127
545,13,98.538,87,127
546,11,101.364,90,121
547,11,92.273,25,108
548,14,107.214,99,122
549,14,107.214,99,122
550,18,100.556,91,127
551,18,100.556,91,127
552,18,100.556,91,127
553,10,111.000,101,129
554,10,111.000,101,129
555,13,100.385,92,115
556,11,94.545,22,117
557,10,96.000,83,119
558,11,100.364,90,118
559,11,94.000,18,109
560,11,94.000,18,109
561,10,102.500,91,127
562,10,102.500,91,127
563,14,96.286,92,109
564,11,101.364,90,131
565,10,112.200,93,144
566,10,104.900,97,122
567,10,111.400,100,141
568,10,111.400,100,141
569,13,95.923,24,126
570,23,101.435,93,119
571,23,101.435,93,119
572,23,101.435,93,119
573,10,103.700,87,128
574,14,112.714,98,147
575,14,112.714,98,147
576,14,112.714,98,147
577,10,101.700,93,116
578,30,94.933,12,142
579,30,94.933,12,142
580,30,94.933,12,142
581,10,98.300,82,123
582,10,105.500,94,119
583,10,103.600,92,119
584,10,103.600,92,119
585,10,116.400,97,143
586,17,92.882,15,121
587,17,92.882,15,121
588,17,92.882,15,121
589,10,99.700,84,121
590,16,97.875,87,115
591,16,97.875,87,115
592,11,94.091,16,113
593,23,92.130,6,117
594,23,92.130,6,117
595,10,104.300,89,116
596,11,97.182,90,103
597,15,96.933,87,132
598,15,96.933,87,132
599,15,102.800,26,130
600,15,102.800,26,130
601,15,102.800,26,130
602,11,108.364,99,132
603,12,96.833,82,118
604,10,97.500,91,112
605,12,91.750,20,109
