 ,Area,Mean,Min,Max
347,19,92.158,22,104
348,10,97.000,94,106
349,46,84.043,12,100
350,46,84.043,12,100
351,46,84.043,12,100
352,10,94.400,87,107
353,10,85.900,80,94
354,10,89.800,86,96
355,12,84.583,79,100
356,12,84.583,79,100
357,12,85.167,81,99
358,12,85.167,81,99
359,12,85.167,81,99
360,22,90.955,84,111
361,22,90.955,84,111
362,47,152.000,152,152
363,15,150.867,150,152
